request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
req_001,127.00,partially_affordable,partial_payment,"2 payments: 63.50 EUR on 2026-09-12, 63.50 EUR on 2026-09-25 (Total: 127.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 127.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_002,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_003,181.00,affordable,full_payment,Full payment of 181.00 USD on 2026-09-12 (Option: opt_003_full),2026-09-12,none,"Affordable in full (181.00 USD). Lowest 90-day balance is 3858.59 GBP, exceeding your 1200.00 GBP reserve."
req_004,208.00,affordable_with_delay,wait,Full payment of 176.69 EUR on 2026-09-15 (Option: opt_004_full),2026-09-12,none,Wait 3 days until 2026-09-15 after scheduled cash inflow. Maintains a safe minimum cushion of 1326.34 USD above your reserve.
req_005,235.00,partially_affordable,partial_payment,"2 payments: 117.50 GBP on 2026-09-12, 117.50 GBP on 2026-09-15 (Total: 235.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 235.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_006,262.00,partially_affordable,partial_payment,"2 payments: 131.00 USD on 2026-09-12, 131.00 USD on 2026-09-25 (Total: 262.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 262.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_007,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_008,316.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_009,343.00,partially_affordable,partial_payment,"2 payments: 171.50 USD on 2026-09-12, 171.50 USD on 2026-09-22 (Total: 343.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 343.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_010,370.00,partially_affordable,partial_payment,"2 payments: 185.00 EUR on 2026-09-12, 185.00 EUR on 2026-09-15 (Total: 370.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 370.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_011,397.00,partially_affordable,partial_payment,"2 payments: 198.50 GBP on 2026-09-12, 198.50 GBP on 2026-09-25 (Total: 397.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 397.00 GBP. Paying above this amount breaches your 800.00 EUR reserve.
req_012,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_013,451.00,partially_affordable,partial_payment,"2 payments: 225.50 EUR on 2026-09-12, 225.50 EUR on 2026-09-27 (Total: 451.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 451.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_014,478.00,partially_affordable,partial_payment,"2 payments: 239.00 GBP on 2026-09-12, 239.00 GBP on 2026-09-22 (Total: 478.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 478.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_015,505.00,partially_affordable,partial_payment,"2 payments: 252.50 USD on 2026-09-12, 252.50 USD on 2026-09-15 (Total: 505.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 505.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_016,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_017,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_018,586.00,partially_affordable,partial_payment,"2 payments: 293.00 USD on 2026-09-12, 293.00 USD on 2026-09-27 (Total: 586.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 586.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_019,613.00,partially_affordable,partial_payment,"2 payments: 306.50 EUR on 2026-09-12, 306.50 EUR on 2026-09-22 (Total: 613.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 613.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_020,640.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_021,667.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 197.00 USD on 2026-09-25 (Total: 667.00 USD, Option: NONE)",2026-09-25,none,Partially affordable up to 667.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_022,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_023,721.00,partially_affordable,partial_payment,"2 payments: 360.50 GBP on 2026-09-12, 360.50 GBP on 2026-09-27 (Total: 721.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 721.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_024,748.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_025,775.00,partially_affordable,partial_payment,"2 payments: 387.50 EUR on 2026-09-12, 387.50 EUR on 2026-09-15 (Total: 775.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 775.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_026,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_027,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
